,reviews,stars,dates,countrys
18,"✅ Trip Verified |   This was the first time I flew British Airways, and it was a huge disappointment. While the seat is quite good, the food is very simple and the service is subpar. But not only that, Heathrow airport, their hub, is by far the worst large airport I’ve seen in Europe. When we landed in DC I had an email saying that my luggage stayed in London. This was last Wednesday. I have an AirTag so I could follow my suitcase. It came to Washington the following day, Thursday. Ever since, it’s been sitting in the airport. British offers no means of communication: the online chat is a bot. The bot tells me to call a number in England. I did. It’s another bot. When you say you have in inquiry about luggage it sends you a link via SMS and hangs up. No option to talk to a human. In the claim form they gave me there’s a local phone, which reaches a voicemail. I keep calling them (6 times today only) and leaving messages, saying that the AirTag shows the suitcase in IAD and offering to go pick it up so they don’t need to deliver it. No one replies to the voicemail. So basically I am shut out, with no luggage, no information, no customer service and no one to talk to.",1,14th December 2024,(United States)
19,"✅ Trip Verified |   Pretty good flight but still some small things that can be improved. Check in was quick. Lounge was good - tasty food and well chosen wines. Disappointingly they had not secured a gate so we had to bus to the aircraft and it was all a hot scrum. I got the last bus to avoid the crush. Emirates, Turkish, Lufthansa, Qatar all had planes on gates ... why not BA? Penny-pinching? Then it turned out the cabin crew forgot about those on the last bus so I had to ask for a welcome drink. It came and the champagne was actually cold. Well done BA ... first time they managed to serve champagne cold in my 10 years of flying with them. Big improvement. Cabin and seat were lovely as always (I greatly prefer to the Emirates white/gold bling). Drinks service was prompt. IFE was good. Starter (trout) was OK. Main (chicken) was excellent. Cheese was sold not cold (as it should be). Wines were excellent. We were not disturbed through the night so got a good sleep on a comfy bed. Cabin was a bit too warm though for my personal preference. Was woken up (as asked) and served a tasty breakfast. Small detail - as it is impossible to get water to 100C at altitude maybe BA could warm the ceramic coffee cups so coffee retains its heat a bit longer? Pouring not quite hot coffee into a nice (but cold) china mug means it is lukewarm instantly. Off the plane in record time (2 minutes) after parking. Bags were waiting for us on the belt. Excellent work by the ground staff. Overall 8/10. Improvement points: gate not bus to the plane; don't forget passengers on the last bus or who board late (but well before pushback). Standout cabin crew member was ""Miguel"" - what a star.",2,13th December 2024,(United Kingdom)
20,"✅ Trip Verified | Check in was fine, but no priority/fast track lines for security or boarding. There is only one lounge option for first class customers in Mexico City, which is the American Airlines admirals club, which is abysmal. There is a free bar, serving cheap alcohol – an awful food selection – and nowhere to shower. On board – I find the seat really comfortable. The crew were fantastic, and I’m starting to really see some consistency in the quality of their first class crew. The drink selection was fine. The food was appalling. We were the victims of their new supper service. This is basically a dinner service with a lot less options/choice. No fish/seafood options on either the starters or the mains. First choice of Main unavailable as only two had been loaded. The fillet steak, so drying and overcooked, that I heard at least three people send it back. Pretty impressive for a cabin of just eight passengers..Dreadful dessert and cheeseboard. luggage off swiftly the other end – so good to see priority tagging working.",8,12th December 2024,(United Kingdom)
21,"✅ Trip Verified | British Airways is absolute rubbish. I had to fly to Amsterdam for an urgent appointment. The flight was cancelled last minute presumably due to bad weather. They've kept us at the gate saying the plane couldn't land while literally every plane from that airport was taking off and landing with zero issues. There was another KLM flight to Amsterdam scheduled to depart at the same time. It took off on time and another KLM flight to Amsterdam later the evening also took off without any problems. It's just the one operated by British Airways was cancelled because of 'the bad weather'. Apparently, the weather was so bad that every plane could land and take off successfully apart from theirs. I had to rebook myself on the Eurostar the next day and would still miss the important appointment that I intended to go to Amsterdam for. All thanks to British Airways.",7,6th December 2024,(United Kingdom)
22,"✅ Trip Verified | The flight time was changed at the last minute without warning and no assistance was provided by the ground staff (3rd party agents) regarding the impact for the delay, nor was any help forthcoming from the phoneline. Nobody in the airline wants to take responsibility for anything. This is fundamentally an unreliable airline. Onboard service was poor and not even as good as some low cost airlines.",1,2nd December 2024,(United Kingdom)
23,"✅ Trip Verified |   I'm so fraustrated. My flight was cancelled last minute, which wasn't the end of the world, even though the earliest I could get re-booked was three days later. It's the insane saga of events that proceeded to claim the compensation that I'm legally entitled to according to EU rules. Used their claims page and all was OK. It was from there that it became incomprehensibly frustrating. My case was closed but no confirmation of what the conclusion was or any money. I tried calling but kept being lead in circles; customer services can't speak to the claims team, the claims team can't be spoken to directly, customer service don't have access to the claims team's system and so on. 4 calls later and 'nothing could be done'. I had to throw my toys out of the pram on the last call and someone finally updated me. I thought that was the end; they had confirmed the claim and that I would be transferred what I was due. And then, they got the amount wrong. I wrote to they to highlight this and they said that they would rectify it. Almost 1 month since the original flight was cancelled and still haven't received what is owed to me as compensation for my wife and son. I have sent two more emails in the last two days and I've yet to get a response. It is criminal that they are not adhering to the aviation rules that dictate compensation for cancelled flights. Terrible customer service and honestly can't belive that BA are capable of such awful service.",1,29th November 2024,(United Kingdom)
24,✅ Trip Verified | We have sat on this plane for an hour and forty five minutes awaiting takeoff due to bad weather in London. This is understandable for safety. Fortunately I have a long layover so this delay does not affect me. However many others are not so lucky. While waiting we were given one small bottle of water and one tiny pack of corn kernels. Later food and drink were offered for purchase. This is my complaint. After sitting idle on this plane for nearly two hours and possibly missing connecting flights they can’t give us a free bag of chips and a coke? When I asked I was told no. Is British Airways really this cheap and money grubbing?,1,23rd November 2024,(United Kingdom)
25,"Not Verified |  British Airways stranding my wife and I at Heathrow Airport for 2.5 days, with no access to our baggage. We we told by airline employees to purchase any necessities (toiletries, refreshments, etc.) and we'd be reimbursed. That claim was denied, with BA claiming that weather was the reason for the delay (an outright lie since every other airline in London was flying on-time). We were unable to to anything besides stand in lines for vouchers, stand in lines for shuttles, stand in line for reservations, etc. for 48+ hours. It was an absolute nightmare and I will never fly BA again.",1,18th November 2024,(United States)
26,"✅ Trip Verified |   Although like many these days, I avoid BA on long haul from London Heathrow due to my perception of poor service and lack of customer services if things go wrong, I was pleasantly surprised by my recent flight to Belfast. The aircraft actually left on time and arrived ahead of schedule. The cabin crew looked bored and uninspired as they can often do on BA (I read at times) but that didn’t really matter. It was a quiet flight so I say myself at the emergency exit unchallenged which was handy. Would fly again with BA where pressed.",1,17th November 2024,(United Kingdom)
27,"✅ Trip Verified | This flight was British Airways at its very best. The flight attendants were outstanding - processional, attentive and helpful. The food was very good and the seat/lie flat bed was very comfortable. I love to smart design of the A350 Club World cabin. Wonderful flight home!",4,15th November 2024,(United Kingdom)
28,"Not Verified | The worst airline I have ever flown with. They cancelled my flight 3 hours before departure and didn’t even contact me. They didn’t put me on a new flight - I had to rebook myself for the next day - and I was also left to find my own accommodation which was a nightmare and have been refused compensation and I was left stranded. Onboard services are also archaic and outdated and the planes are the oldest out of any airline I’ve flown with. Food and service was the worst I’ve ever experienced and I’ve travelled on most airlines (Emirates, Etihad, Thai, Malaysian, Qantas, Cathay, UA etc). DO NOT FLY WITH BA.",10,13th November 2024,(Australia)
29,"✅ Trip Verified |   Disappointing service, plane interior and terribly incompetent customer service I booked my flight directly through BA's website. Soon after I started to get emails saying my selected seats (I paid extra for the selection) had been changed by BA without any reason given and I was directed to the website. There I found no information on the said seat change. This happened several times (I had 4 flights altogether). The website seems to be a digital dinosaur. The first leg of my flight was fine, until I discovered in the transfer area at Heathrow that I forgot my new laptop onboard. Immediately I contacted BA's so called Customer Service (what an oxymoron), which basically said they can not do anything, I would have to wait until the cleaners (working for a contractor) would have finished their job and hope they would discover the laptop and return it to so called Lost & Found at the airport. BA's customer service said they couldn't contact their colleagues in the terminal/gate were the plane was still and let them know there was a lost laptop by seat no 27A of the plane (yes I told them exactly were the laptop was). They wouldn't take any contact details either to notify me if and when the laptop would be returned and they refused to register the incident. They simply had no interest in assisting me and didn't even make an attempt to pretend they did. Communication via their online customer service was poor, and they didn't even respond to my messages. In the end I emailed the representative at Heathrow and he replied with a message form his supervisor (which did not reveal his name): ""It is not the duty of British Airways to find lost property on behalf of our passengers, however if you would like to dispute this you can contact customer relations online with further feedback."" They took no responsibility and referred me to Smartecarte, which is the contractor cleaning their planes and apparently collecting lost items at Heathrow. I have not received the laptop, worth 2 thousand GBP, back now 3 weeks later. The flights between London and Cape Town (~12 hours), were unpleasant. The flight attendants were seemingly unenthusiastic about their job, it took up to an hour to collect the trash after the meal, which also was distributed extremely slowly. Food was not good. Boarding was slow and inefficient. Drinks were only offered twice (otherwise you'd have to ask for it especially) on this long flights. The seats were of fabric, uncomfortable and room too scarce to relax and sleep. All in all flying with British Airways was disappointing and I will not be keen on flying with them again.",1,8th November 2024,(Iceland)
30,✅ Trip Verified |   A transit visa is required for my partner to transit via London to Iceland. So I had to buy a separate ticket for her via another airline. When we reach Iceland I emailed British Airways telling then she won't be using her return ticket and requested for a partial refund. 2 days later. I received an email from customer service that I need to contact one of their service centres via the provided link. I replied to say the link only goes to a page with various British landline phone numbers to call and explained that I am overseas then and it will not be practical to do this via international calls. They replied to say I can only do this by contacting the service centres. So the airline end up taking my money regardless.,3,8th November 2024,(Singapore)
31,"✅ Trip Verified |   I was surprised to receive confirmation pre-flight that I had 69 kgs luggage allowance. This to be later confirmed as one at 23 kg checked in, another 23 kgs carry on for under seat, and a third 23 kgs carry on for overhead stowage. Checkin opened a bit late, and the line for Executive Club members even later, but was courteous and efficient. Long queue for passport control but the fault of Brexit, not BA. My seat had no screen; no earphone socket; no charge point; no seat recline; no boarding music. All the same as low cost carriers. Captain announced ""Wonderful service from Emily and crew"" - maybe it was in Club Class, not the economy cabin. It was announced that they would serve complimentary water and snack, but only the snack came. It was also announced there would be free text messaging for Exec Club members, but I couldn't get it to work, although a member. Snacks were sold, some at twice TUI price. For example Cadbury's chocolate fingers at £3.50. I chose BA this time as when I booked it was cheaper than all the charter carriers. And being British I mustn't forget BA's impeccable safety record and normally reliable service. After landing the Purser thanked the crew for their hard work. Seems pushing one small cart down the aisle during four hours constitutes hard work in BA. But at least we were on time.",1,7th November 2024,(Turkey)
32,"✅ Trip Verified |   Flight cancelled, not refunding our money saying we took the flight that never happened. Not refunding the new flights we booked, hotels, food while we were stranded. Did not provide food or water while waiting for hours on tarmac. Will not provide information as to why they aren't refunding the flight that never happened. Saying there is no more information.",3,7th November 2024,(Canada)
33,"✅ Trip Verified |   I had visa issues, and hence, was debarred from flying. The ground staff at Mumbai was excellent (a woman named Brinelle) was very helpful and understanding. I had to rebook my tickets, and while the original journey was consisting of 3 legs, BA forced me to rebook the entire ticket, because their system did not allow them to rebook just that one leg (even though there was a gap of 13 days between the two legs, not like they were connecting flights). The telephone operator was rude, took 45 minutes and kept saying she needed 3-4 more minutes to give me clarity. It was horrendous. The final price they offered me for rebooking 2 of the 3 legs was much more than the original fare for all 3 legs. She was torturous, BA was horrendous because the website does not allow you to do all this. A very poor experience, in all.",1,5th November 2024,(India)
34,"✅ Trip Verified |   Singapore to Heathrow with BA. Two choices on this route A380 or 777-300. In economy and premium (and first) there isn’t much in it. In club world the 777 wins as it has the suite. Check in was easy. Security and passport control in Singapore is efficient. Choice of 3 lounges (BA, Qantas or Qatar) the latter wins easily. BA lounge was ok no major negatives. Qantas wins on space. Boarding was on time. The aircraft has a high density club world cabin. Service was fine. Club suite was good. It’s the food and beverages that are being targeted I feel. The 1st meal starter was good, main of beef fillet was average, same sentiment for cheese. Wines were acceptable. Champagne choice is cheap so I did not try. Service for meals efficient given the full cabin. Breakfast was similar. The menu suggested that some might want to skip a main course and opt for starter and dessert, for this to work for BA, a major shift in how lounge options are sourced and presented would be needed. As it was I slept well, we arrived early, luggage off quickly (for once) so a reasonable flight overall. My warning to BA is that food and beverages in club world are drifting in the wrong direction",1,5th November 2024,(United Kingdom)
35,"✅ Trip Verified |   I recently travelled from Munich to London with British Airways, and it turned into an absolute nightmare. Our troubles began with their malfunctioning app. Despite checking in successfully, I was unable to retrieve our boarding passes. Upon arrival at the airport, we discovered that there were no self-service kiosks, and the check-in desks were completely unattended. After seeking help from the information desk, we were directed to a staff member who clearly did not want to assist us. Her dismissive attitude was infuriating, and despite showing her the app indicating we were checked in, she simply told us to call customer service and walked away without providing any assistance. After being put on hold for 25 minutes and being sent to several different staff members who couldn’t help us, we finally reached someone on the phone who was kind but ultimately powerless to resolve our issue. By this point, our flight was delayed, and we had wasted two hours just trying to print our boarding passes. When I followed up with a complaint, British Airways basically dismissed my concerns and told me to use the app next time—ignoring the fact that it was the app's failure that caused all these problems in the first place! This experience cost us a staggering £682.43 in additional expenses, including new flights, hotel stays, taxi fares, and fines. Missing work and explaining this absurd situation to my employer was incredibly embarrassing. British Airways clearly needs to improve its customer service and technology. If their app and website are going to fail, they must provide adequate support at the airport. I will never fly with them again, and I urge others to consider alternative airlines.",6,3rd November 2024,(United Kingdom)
36,"Not Verified |  I paid for seats 80 A and B on my flight from Heathrow to Boston on the A380, paying for premium economy seats. Upon arrival at the airport the ticket agent said I was not healthy enough to sit in the purchased seats due to being too old I presume (65) since there is no other reason I can find I could not sit in the exit seating. I am healthy enough to walk 10-12 miles a day and have adequate upper body strength. Attempting to convince her just got us stuck in a cattle call seat, at the rear of the aircraft, second floor and in the middle two seats of the row. We were told our money would be refunded immediately for the ""inconvenience"". After several weeks I recontacted BA and they said the complaint went to the wrong section and they were forwarding it to the next section. 6 weeks later and we still have not heard any updates except for a computer response stating most refunds were returned in 3 weeks, keep waiting. The plane then had ground difficulties and needed a quick repair. They completed that 30 minutes later and boarded the flight. The captain then came on and said it looks like they forgot to order the ground crew to back us out of the terminal and we needed to wait another 30 minutes. We were not able to make up for the lost time in the air. We landed 1.5 hours later than scheduled, wreaking havoc with our next flight.",1,3rd November 2024,(United States)
37,"Not Verified | The flight wasn’t that bad, although the Inflight entertainment wasn’t great, the screen was very old-fashioned. It was hard to operate in the dark as the touch screen wasn’t working at times. There was though a remote. The cabin crew slamming air larders (ovens and draws). Apart from that, the cabin crew were nice, the food was good and the seat was comfortable.",3,3rd November 2024,(United Kingdom)
38,"✅ Trip Verified |  I decided to treat myself and my teenage daughter to World Traveller Plus on the return leg of our Canada holiday, paying hundreds of pounds extra to do so... only to end up spending nine and a half hours trapped in a broken seat staring at a blank screen after both our entertainment systems failed to work. I hadn't bought a book or uploaded a film because I had assumed I would be enjoying the entertainment BA had promised. So I decided to lie back and get some rest instead, only to discover that the leg rest on my seat didn't work. The flight attendant was able to prop it up manually by shoving things underneath, but unfortunately this only made matters worse because it became firmly stuck in the up position, forcing my body into an awkward position during the descent, when I had to keep my seatback upright, leaving me with back pain that lasted three days (I have a bad lower back). Early on in this experience I asked to be moved to economy so that I could sit normally and watch a film, but the flight was full and there was no space. The apologetic flight attendant assured me I would receive compensation, which I assumed meant the airline would, at the very least, upgrade us the next time we flew BA, since we had been unable to enjoy any of the advertised benefits of World Traveller Plus (the two of us only had one suitcase each, so hadn't made use of the extra baggage allowance). BA's actual compensation offer: £25 worth of Avios points each. I wrote back (since BA doesn't allow you to have any direct telephone contact with their complaints department) explaining firmly but politely that this was not fair or acceptable, given the hundreds of extra pounds I'd paid for added extras the airline had failed to deliver. They then ghosted me. My experience is a cautionary tale about British Airways customer support. If all goes to plan, you may well have a very pleasant World Traveller Plus experience. But if anything should go wrong, support staff will wash their hands of you and your money will have been wasted. So unless you're prepared to gamble, I would advise you to either stick with Economy/World Traveller (since then you're only really paying to fly from A to B, which they do manage to do) or fly with another airline. Or you could end up like me: throwing away extra money on an experience that fell far below the standard of economy class. If your flight is to Canada, I would recommend an airline such as Air Canada, which I turned to during the uncertainty of the Covid pandemic because of their exceptional customer service and fast, no-nonsense refunds. They do cost a bit more, so when life returned to normal post-Covid, I started flying BA again, believing such high standards of customer service were no longer important. I now see that this was both a mistake and a false economy - one that has ended up costing me hundreds of wasted pounds.",7,2nd November 2024,(United Kingdom)
39,"Not Verified |  I was very impressed with their efficient boarding, the relatively (compared to Air Canada) comfortable seats and the quality of the food. Drinks and snacks frequently offered. Overall a no fuss, no bother experience.",1,2nd November 2024,(Canada)
